msg_id,speaker,text,label,tactic_urgency,tactic_fomo,tactic_sunk_cost,tactic_social_proof,has_tactic,tactic_clean,stage,platform,urgency,aug_method
19,recruiter,"Hope you are doing great.We are reaching out on behalf of our Alpha & Omega Semiconductor . who posts numerous job openings every month. After reviewing your profile, we believe your skills and experience make you a strong candidate for a Senior Staff Applications Engineer position.If you're interested in exploring this opportunity, please visit the URL for job descriptionshttps://desirejobs.xyz/mvk3Looking forward to hearing from you soon!Best RegardsThankarham JavedStudent at Islamia university bhawalpur",1,0,0,0,1,1,social_proof,hook,Email,3,original
20,recruiter,"We are delighted to inform you that your experience and working skills have left a positive impression on us. It is with great pleasure that we offer you a position as a Full time Junior Software Engineer (REMOTE) with Markon Solutions. We believe that your skills and creativity will make a significant contribution to the success of our organization.Your daily tasks will be communicated to you via email, and we will be available to provide guidance and support throughout your training period. Upon setting up your workspace, you will undergo an online training program via Skype that will last between 3 to 5 days.Your starting rate will be $59.32 per hour, and your pay will be issued weekly through your preferred method of wire transfer, direct deposit, or check. Benefits attached to this position include Flexible work schedule, Short term disability insurance, Sixteen (16) days Paid Time Off, Life Insurance, Six (6) Paid Medical Leave, Retirement Accounts, Health Savings Accounts (HSAs), Vision insurance and 401k plan.During the first 5 days of your employment, we will conduct virtual communication with you. After this period, we will provide you with access to our company server with a username and password, along with contact phone numbers for various departments. We will also send you all necessary forms to fill out, and before you start, you will receive a check to purchase the office equipment and software required for your training and work.You will receive your Employment Offer Letter today, and we look forward to commencing your training as soon as possible. To receive and register your offer letter, kindly provide us with the following information:Your Full NameFull Home AddressPhone NumberEmailOnce again, we extend our congratulations on your new role with Markon Solutions. We are excited to work with you and anticipate great things from you.Sincerely,Alberto HernandezMarkon Solutions400 S Maple Ave #230, Falls Church, VA 22046",1,0,0,0,1,1,social_proof,extraction,Email,5,original
21,recruiter,"I also noticed that your CV could score a bit higher in the client's Applicant Tracking System (currently around 47%). With a few small improvements, it should be in great shape. You can quickly check and optimise it through CareerHero.io - it helps improve ATS compatibility, boost LinkedIn visibility, and organise your job applications.Once you've updated your profile, I can re-submit your application.",1,1,0,0,0,1,urgency,extraction,Email,3,original
22,recruiter,"Hi,Thank you for your application for the Customer Service Representative position - Work From Anywhere.Can you please confirm you are still on the market and your availability to start.CareerHero.io can help your application-it ensures your CV is ATS-friendly, helps track applications, and even supports LinkedIn visibility and career growth. (Currently you are scoring 58% on the clients ATS, we can resubmit once you have updated your LinkedIn).Looking forward to your response.Best regards,ConnorConnor WalshHead hunting the top 1% in Customer Service (Remote Roles)",1,1,0,0,0,1,urgency,hook,LinkedIn,3,original
23,hr,"Hello I hope this message finds you well. This is Lisa from Domino's Pizza , We received your resume through our secure applicant tracking system via Smartrecruiter, and we are impressed with your qualifications. We are excited to invite you for an interview for the open position.This remote position plays a crucial role in providing exceptional Delivery to our customers and clients. The working hours are flexible.Please contact HR Manager on Microsoft Teams.You can download Google Play Store or Microsoft.com. Add the HR Manager using the following Link:",1,0,0,0,1,1,social_proof,interview,Email,3,original
24,recruiter,"We are delighted to inform you that your application for the Software Developer role at Ghost Retail Inc. has been successfully shortlisted - congratulations on advancing to the next stage of our selection process!To proceed and confirm your interview, please complete the following steps:Visit our secure platform at https://ghostretailgroup.comFollow the on-screen instructions to complete your setup.After completing this process, your interview schedule and further details will be sent to you directly via our portal.We are excited to offer a starting wage of $35/hour, contingent upon a successful interview.Please make sure to complete this step by the end of today to secure your interview slot and continue with the hiring process. If you have any questions or require assistance, feel free to reach out - we're here to help.We look forward to connecting with you soon.Warm regards,The Hiring TeamGhost Retail Inc.https://ghostretailgroup.com0000",1,1,0,0,0,1,urgency,extraction,Indeed,3,original
25,recruiter,"We are going to be communicating virtually till after 5 days of working with us, subsequently a user ID and password will be given to you including a link to the company server and a list of contact phone numbers to various departments will be sent to you including all necessary forms to fill out.Before you start work, you will receive a payment(check) which will be used to set up your workspace by purchasing the office equipment and software needed to start your training and work.Shortly, you will be receiving your Employment Offer Letter. Our aim is for you to start training as soon as possible.You are to immediately forward the following information to enable the HR register you and prepare your offer letter:Your Full Name:Full Home Address:Phone number:Your Email :Please email the requested information above to me:Congratulations!Kind Regards.",1,0,1,0,0,1,fomo,extraction,Email,4,original
26,other,"Congratulations!!! After careful consideration you have been confirmed qualified for the position of a Remote Product Design Manager due to your level of experience and working skills. Therefore the Company has decided to hire you as one of our New working staff. Welcome to Splunk Technology!On August 5, I got an email invitation to interview for a Remote Product Design Manager position at Splunk from info@splunkcareers.us to my university email. It states that I was fast-tracked to an interview because my AngelList profile shows my skills and experience would be a great fit. I scheduled the interview with an alleged Splunk HR member (Matt Olsen). I even looked up his profile to make sure that I was talking to a real person from the company. After the Skype chat interview, I was told to be online on Monday at 10 am for updates. On Monday, I received the offer, and a request to fill and sign the employment contract, background check authorization, direct deposit form to fill and sign, and a copy of my driver's license.Later that week, I had a chat with the alleged CIO of Splunk (Alexander Fridman) who briefed me on equipment that will be sent to set up my home office. I was told I would be given company funds to purchase an iPhone 13 Pro, an Apple Watch Series 7, and Microsoft Business Standard. The finance department will send me the company account information to purchase the items. I was instructed to link the company account to my card to pay off the current balance before I make any purchases. At this point, I received a temporary work email from IT department which I had to log in via privateemail(dot)com where I will receive updates.On Monday, August 15, I received all the information regarding the bank account and successfully linked it to my card. I use the account to pay off the outstanding balance as told and went to the Apple Store to purchase the items. I was instructed to send the items I purchased to the vendor's address so that proper company branding and the most up-to-date software can be installed for security purposes. I went to the UPS store on the same day and sent off the package via Next Day shipping.While driving home, I felt uneasy so I called my friends and family to consult my suspicion. One friend suggested that I reach out to HR employees at Splunk on LinkedIn to be sure. An HR employee confirmed my suspicion. I immediately called UPS to cancel my shipment, froze my credit card, and reported the identity theft incident to the FTC. (Thank you! UPS)During this interaction with the people who were pretending to be employees at Splunk, I felt like I was being welcomed into the team. These scammers used phrases like 'You're welcome, Splunker!' 'Have a great day, Splunker' to make me feel like these people were real employees.The most horrifying thing is how I receive this through my school email. They were targeting students like me. A part of me felt like I should have known better. The other part of me knows this is not one of those silly scams. This is an elaborate, calculated, and targeted crime.",1,0,0,0,1,1,social_proof,extraction,LinkedIn,5,original
27,other,"Hello 👋Okay, please introduce yourself including your name, sex and location ??Richard Johnathan Montgomery the III at your service. I'm mostly male and I'm in British Columbia CanadaFriday to Sunday I'm a little less binaryOkay goodOkay you can work on partimeThe name of the company is luxoft companyAnd we work on data processingLike we send an emails to our clientAnd is home base jobOkay I will be asking you 1-09 questions now, once you are done answering a set of questions sent to you all you are required to do is put (Done) at the end. Are you ready?I believe you should know what your roles are?1- What motivates you? Are you seeking a Full time or Part time Position?2- What is your clerical speed? Do you have an idea of how to use MS excel?3- What is your highest educational diploma? When did you receive it?4- How long do you intend working for this company?5- Do you operate with AT&T, VERIZON or SPRINT (postpaid) network provider virgin bell6- How would you like to be Paid? Weekly Or-Weekly?7- What means of payment do you prefer? Company check, Credit card?8- Do you have a credit card or any maxed out credit card debt to pay off9- What Bank Do you operate with to see if it tallies with the company's official salary payment accountDue to your level of experience and communication skills, the company has decided to give you a opportunity to work for the company and hope to see your Diligence, Charisma, Commitment towards this job. CongratulationsYou will get your contract letter and your equipmentOkay now the next steps now is how you will be getting the company equipment you'll be using for the jobSo your address will be needed for them to deliverDo you know about FedEx companySend me your addressLet okay can we proceed on the next steps",1,0,0,0,0,0,none,extraction,WhatsApp,5,original
28,hr,"Hello dear, My name is ... I am the Senior HR Specialist of CLSA Capital Market. Your candidacy is suitable for the open vacancy of Junior Trade Execution Specialist. We found all necessary skills in the resume you had provided. You receive a unique opportunity to join our team... To this letter I enclose the documents Company Overview... Open the document Job Offer... Please give the answer in the next few days…",1,0,0,0,0,0,none,hook,Email,3,original
29,recruiter,"I am Robert Brandon, The Hiring Manager for Gemini, Please introduce yourself and indicate your full name, address and phone number. Yes, if hired training will be done via zoom video call. If hired Working materials will be sent to the address you provide after you have done Your KYE verification.",1,0,0,0,0,0,none,offer,Email,3,original
30,recruiter,"Hello I reviewed your LinkedIn profile and was impressed by your professional experience and expertise. I believe your background is relevant to a project my employer is currently working on. Could you provide me with your phone number? I would be happy to arrange for my employer to contact you directly.Is this your WhatsApp number? I can ask my boss to message you on WhatsApp first so you can quickly get the specific project details, salary package, and other aspects of the cooperation.My boss usually communicates via WhatsApp and will send you project proposals through the platform. You can download and register directly from the App Store; it only takes a minute or two.Since you choose to give up, I wish you good luck in the future.",1,0,0,0,0,0,none,hook,LinkedIn,3,original
31,recruiter,"We have duly acknowledged your application via the applicant tracking system (ATS), which integrates LinkedIn, Indeed, and ZipRecruiter Job Board, for the Internal Communications Specialist position at Mobileye Global Inc. We are currently in the process of sourcing candidates and new hires for this role. Due to the urgent nature of this position's need to be filled, we will only consider applicants who are immediately available to begin the position. Applicants who are currently employed in their first jobs and would prefer that we wait until they leave their current position before considering ours should refrain from proceeding. This position is available for both full-time and part-time employment and commences during the third week of June, 2025. If you believe you are prepared for this, then consider yourself fortunate to be a part of this incredible and great company if you are employed; not only does it offer competitive pay, but it also provides benefits for which you cannot fathom being eligible.",1,1,0,0,0,1,urgency,extraction,Email,5,original
32,recruiter,"Good Morning, We were impressed by your application for the Data Entry Assistant position at Genesis Laboratory and are excited to invite you to a remote screening. This will give us the opportunity to learn more about you and discuss your qualifications for the role, all from the comfort of your own home. We have a few days and times available for the screening; please let us know which one works best for you. February 9, 2024: 9:00, 10:00, 12:00, 2:00, and 4:00 Eastern Standard Time. February 10, 2024: 9:00, 10:00, 12:00, 2:00, and 4:00 Eastern Standard Time. It will be conducted via Ring Central Platform. The screening is expected to last approximately 15-20 minutes. Your interviewer, Susan Bagwell, will be meeting with you. Please confirm your attendance by replying to this email. If you need to reschedule or have any technical issues, please let us know as soon as possible so we can make the necessary adjustments. We look forward to getting to know you better during the remote screening and discussing your potential fit for the Data Entry Assistant role at Genesis Laboratory. If you have any questions or concerns, please feel free to contact me at susan@genesismedicallab.com. Best regards, Susan Bagwell Hiring Manager Genesis Labs.",1,0,0,0,1,1,social_proof,extraction,Email,5,original
33,attacker,"I received unsolicited job outreach from a recruiter and after I rejected them, they used my email to sign me up for hundreds of newsletters and sweepstakes. They also contacted my current employer with false information to try to get me in trouble. The recruiter appeared to be harvesting my personal information and had access to old address data. The individual has a history of threatening and blackmailing others when rejected.",1,0,0,0,1,1,social_proof,hook,Email,3,original
34,recruiter,"This job requires no investment, the only requirement is that you need to spend about an hour each day. After receiving the job details, whether you need it or not, I hope you can let me know, okay? I am the one who invites you to join this job. I am not your boss. Everyone's salary is paid by the company, and we can only earn the salary through our own efforts before the company pays us. I hope you can understand that there will be no advance payment of signing bonus to you, and there is no such operation. This is not a formal job, but a part-time position. This is a job that requires you to work hard in exchange for compensation. Have you ever seen a company that pays employees first and then works? This is not a job of finding artists to sign, I hope you understand.",1,0,1,0,0,1,fomo,extraction,WhatsApp,3,original
35,hr,Just hung up with 😂 and you will have the offer in hand during your meeting Monday! Brad is writing it up today. I didn't hear from 😂 until last night so I'm sorry it took so long. He didn't feel like it went well either and decided to not move forward I am talking to him Friday and will get more. Perfect how does Monday look? The COO may want to meet you by am not sure yet. Awesome between us girls 😂 is 100 💯 hiring you he just has to follow their process as to not step on any toes. He is super hard to impress so you should be proud of yourself. I have already told them you need to be at 70k or better and have that approved so my hope is you don't hate the people you talk to next lolz.,0,0,0,0,0,0,none,screening,SMS,3,original
36,recruiter,"Hello, sorry to bother you. I'm Julianna from Korn/Ferry in Los Angeles. Your background and resume have been recommended by several online recruitment agencies. We'd like to offer you a fantastic remote online part-time or full-time job helping a scooter company monitor and manage scooters using your phone, with free training provided. Flexible positions allow you to work 60 to 90 minutes a day. You'll earn between $80 and $500 per day, with a base pay of $950 for every 4 days worked. If you would like to participate, please contact us via WhatsApp.",1,0,1,0,0,1,fomo,extraction,SMS,3,original
37,recruiter,"I'm [name], CEO at [company]. I'm contacting you about the job application. Hello [name]. Please to meet you. How are you? I'm just having dinner. Oh okay have ur dinner and we can chat later. Text me whenever u are free. I just finished - i had a quick bite. That was fast! So, you applied for our Online Marketing Exec position.",1,0,0,0,1,1,social_proof,hook,WhatsApp,3,original
38,recruiter,"Hello, I am Olivia, a recruitment specialist from One Agency Recruitment. We are currently hiring for various positions and I would like to share some details with you. Would you mind? Please email me instead. Unfortunately we are unable to use E-mail at this time as we need staff ASAP. We didn't expect our company to expand too quickly",1,1,0,0,0,1,urgency,hook,WhatsApp,3,original
39,hr,"Hello! I am Lucy from the Human Resources team at LinkedIn. We recently came across your outstanding resume and would like to recommend you for a job opportunity with a monthly salary exceeding $10,000. This is a flexible, remote position where the work is easy and takes about 60 minutes per day. Pay ranges from $300 to $900 per day with daily paychecks. If you are interested, please contact us via WhatsApp.",1,0,0,0,1,1,social_proof,extraction,SMS,3,original
40,recruiter,"Hello, I am contacting in regards to the Temu training. Chelsea gave me a training code: V2020. OK, wait 2 minutes, I need to verify. Confirmed V2020. Training bonuses range from $50 to $150. My name is Nina. Please provide your name and age. What state are you from? I need to record your training information.",1,0,0,0,1,1,social_proof,hook,WhatsApp,3,original
41,recruiter,"Hello good afternoon, my name is Rebecca I work for the staffing agency SkillsetGroup. I saw that you recently applied to one of our indeed postings for Cashier/Data Entry clerk. Just to give a little more details the company is located in downtown LA area it is a produce company. They are looking for someone who can work the midnight shift doing cashier/data entry, starting at $18/hr, if you are interested let me know :) Good afternoon, it'd most likely be a 1am-8:30am schedule Mon-Fri. So I would need an application from you, we have an office in Commerce is you are willing to apply and if you have a resume you can send them over to my email here rzuniga@skillsetgroup.com. Ah yes you're right. As for the application in person there is another option for you to either text me or email me you 2 forms of ID which would be ID and Social. I know for privacy reasons some people don't like to do it but its whatever you feel comfortable with!",1,0,0,0,1,1,social_proof,extraction,SMS,4,original
42,recruiter,"We like what we've seen and would love to discuss the position further. Thank you for your interest in joining GSS Lake Forest Home Care. After reviewing your application, please follow these steps to schedule your interview: Download and install the Signal app. Set up Signal and add Mrs. Helena using the username silveroakhiring.53 and send her a direct message.",1,0,0,0,1,1,social_proof,interview,Email,3,original
43,attacker,A cheque has been sent to your email. View the cheque and deposit it using your banking app. Send a screenshot after the deposit. Make the deposit now and follow the instructions I gave you. Screenshot your bank balance so I can see it. Send $100 first and provide a screenshot. Go to the store and get an Amazon gift card of $100 so I can order your working equipment.,1,0,0,0,0,0,none,extraction,WhatsApp,5,original
44,other,"Find attached a scanned copy of your payment check for mobile deposit initiation. Initiate the Mobile Deposit feature on your financial institution mobile app and take the photos of the front and back of the check as prompted. A confirmation receipt should be sent back to this email address or your hiring manager for recording upon deposit. Reach out to your hiring manager for an assigned agent and detailed use of funds as this will be strictly monitored. Regards, Calvin James Accounting Morningstar Marinas.",1,0,0,0,0,0,none,extraction,Email,5,original
45,recruiter,I am very sorry. We pull phone numbers through a number generation software and then random users via Whatsapp to recommend our work. Not hold any other private information about you. Do you want us to provide you with specific details?,1,0,0,0,0,0,none,hook,SMS,3,original
46,recruiter,Alright! You will receive the zoom link with your attached email. I want to talk about a crucial step in our hiring process before we move forward: running a credit and background check to determine whether you are a good fit for the position. I hope you can comprehend. Would you like to carry on with the process? This is the credit and background check URL: https://idvme.us/rt79s Just follow the link and fill out your details correctly and please send us the screenshot of the final result with your credit score. (Don't worry about your cost. Fee being refundable).,1,0,0,0,0,0,none,extraction,SMS,4,original
47,recruiter,"HELLOO. Good day, I'm Jasmine Ng a recruiter from (Singapore) KARE SUPPORT PTE. LTD. (UEN: 201002494M). I got your contact from our company database. We're currently hiring for remote work roles in Singapore, from entry-level to professional positions, for candidates aged 20 or older. One of them might be a good fit for you. I'll let SG person in charge send the job information and salary details to your WhatsApp. Would that be okay?",1,0,0,0,0,0,none,hook,WhatsApp,3,original
48,recruiter,"Hello, My name is Alexa, part of LinkedIn's global recruiting team. We came across your profile on multiple platforms, and it has caught the attention of recruiters in Singapore. We'd like to invite you to join a remote position with flexible hours. Simple work, no set schedule. Daily earnings: 4,800-15,000 PHP (same-day payout). Minimum monthly income: 88,000 PHP. Free training included. 15-20 days of paid vacation + public holidays. Limited slots: only 5 available. Are you ready to start a new phase in your career? Reach out via Telegram and receive a 100 PHP welcome bonus. Telegram: @Camille96_s",1,0,0,0,0,0,none,extraction,SMS,3,original
49,recruiter,"Hello, my name is Esther Chew. I'm from Singapore Kare Employment. (UEN: 202410549D) Is it okay if our Singapore rep sends you the full details first? You can take a look and decide if it suits you. Can I have the person in charge send you the complete information first? Feel free to take a look and decide afterward.",1,0,0,0,0,0,none,extraction,WhatsApp,3,original
50,recruiter,"Congratulations! Your Selection is Confirmed Dear Student, Thank you for applying for the Skill + Project Based Internship Program through LinkedIn. After reviewing your application, your profile has been shortlisted for the next step of the selection process. To explain the internship structure, live projects, stipend details, and selection process, we are conducting an Induction Session. Internship Details: Company: Unified Mentor Pvt. Ltd. Duration: 3-6 Months (Flexible) Stipend: Up to ₹15000 (Performance-Based) Mode: Online / Work From Home Important: We have an induction session Today at 05:00 PM (Today) Please make sure to join on time to get all the details about your internship journey. Please using the link below to join our WhatsApp community https://chat.whatsapp.com/DnCtNTRNfb6JuT5VGDejLN Best Regards, Varun Kumar Unified Mentor Pvt. Ltd",1,0,0,0,0,0,none,offer,LinkedIn,4,original
51,attacker,"I'm currently on a conference call meeting and I need to provide some of our clients in India with some gift cards, can you confirm if we can get apple store giftcards/app store code from Phonepe or amazon.in? Please confirm what denomination is available or if there's any purchase limits for the gift cards. I need you to purchase 2 quantities of ₹10,000 app store codes, receive them directly to your email and send pictures of the cards to me here, I'll reimburse all incurred expenses once I'm through with the meeting.",1,0,0,0,0,0,none,extraction,WhatsApp,4,original
52,other,"Hello, This is a contract-based job opportunity for an Accountant position in a government department. If you get selected, you will need to provide your first month's salary to the consultancy as a service charge. If you are interested, please reply with 'Yes' for further details.",1,0,0,0,0,0,none,offer,WhatsApp,3,original
53,recruiter,"I can shortlist you among the 5 names to interview, but on an agreement that u pay me 250k, 50k before the shortlist and 200k after the interview. After the interview you will be sure that u got the job or not. The salary is between 1.75m to 2.5m depending on your negotiation skills and they need 2 people.",1,0,0,0,0,0,none,extraction,WhatsApp,3,original
54,recruiter,"Congratulations and welcome to the team! We are pleased to inform you that you have been selected for the Fully Remote Data Entry position. I've attached your offer letter. Also, as part of the onboarding process, we will begin your Home Office registration and assessment. Please provide the following details: NAME, ADDRESS, Apt#, CITY, STATE, ZIP-CODE, PHONE #. Send this information using 'Home Office Registration' as the subject line.",1,0,0,0,0,0,none,offer,Email,3,original
55,recruiter,We have shared details via email. Kindly complete the process at the earliest to confirm your training slot. Incomplete registrations will be removed. You need to pay a ₹199 registration fee to confirm your slot within 30 minutes.,1,1,0,0,0,1,urgency,extraction,WhatsApp,3,original
56,recruiter,"Hello! I'm Shamika, a recruiter at Flypside Global Services India Pvt Ltd. I would like to offer you a job. Can you give me 5 minutes of your time to discuss more about the job details? The job (work-from-home) is simple and flexible. It doesn't interfere with your other jobs and you can work in your spare time. Your job is to use your smartphone and help by searching branded keywords to improve our merchant's website visibility and traffic in search engine result pages on Google. As a regular employee, you can earn up to Rs 2000-8000 by searching for these keywords. Your salary will be paid into your bank account on the same day. Would you like to try this job? I understand you're hesitant, but this job offers great benefits. You can work from home, the tasks are simple, and it doesn't take much time. Plus, the pay is quite attractive. Why not give it a try? It could be a great opportunity to earn extra income with flexibility. I appreciate your offer, but I'm here to discuss the job opportunity with Flypside Global Services. The keyword search tasks are part of our data analysis work for various clients. While the pay range I mentioned is accurate, it's important to focus on the legitimate opportunity we're offering. Let's stick to discussing the actual job details if you're interested. If you change your mind about our opportunity, feel free to ask for more information. I understand your skepticism, but I assure you this is not a scam. Our company offers legitimate work opportunities. However, if you're interested, you can share your personal details along with your bank account number, PAN card, Aadhaar card, and just 10k as advance for confirmation purpose. We'll return back that amount once your account is created. Please hurry up, only limited job vacancies are available. You'll be credited with 10k-20k in the same day.",1,1,0,0,0,1,urgency,extraction,WhatsApp,3,original
57,recruiter,"Hi everyone, I'm recruitment consultant. My name is Berger, I'm in charge of online recruitment We currently offer part-time and full-time positions. Part time: 35-55 per hour Full-time: 700 to 1,100 per week UK Locations - Flexible job applications to suit your schedule. There are no contracts or investments involved. If interested please reply to me",1,0,1,0,0,1,fomo,hook,WhatsApp,4,original
58,recruiter,We currently have part-time and full-time jobs available.Part-time: £100-£300 per hourFull time: £1500 to £3000 per week -Location in the UK - flexible to applydepending on your schedule.No contracts or investments involved.Over 22 years old Would you like more details about the job?,1,0,1,0,0,1,fomo,hook,WhatsApp,4,original
59,recruiter,"The salary structure is composed of two parts: basic salary + commission. The basic salary is paid 5 times a month, and commission rewards can be received every day. If you successfully sign in for 2 days in a row, you will get 50 US dollars, if you sign in for 3 days, you will get 100 US dollars, if you sign in for 4 days, you will get 1,000 US dollars, if you sign in for 15 days, you will get 1,800 US dollars, and if you sign in for 30 days, you will get 3,800 US dollars, for a total of 6,750 US dollars. Our daily arrangement is to complete a maximum of 3 sets of tasks every day, with 30 orders in each group. Three sets of tasks must be completed in one day to be considered a working day.",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,5,original
60,recruiter,"Hello! I'm Mary Harvey from Randstad Recruitment Group. I want to talk to you about something. Remote work. We are recruiting an AOS remote worker. The position is: ASO Online Operator. You will be paid approximately US$100-300 per day for completing your work,Are you interested? OK, I will notify HR, and she will contact you within a few moments or a few hours. She will also give you detailed information about the job. Please remember to check the information. I hope you are having a good day. She will message via Whatsapp please reply her.",1,0,0,0,1,1,social_proof,hook,SMS,4,original
61,recruiter,"Hello, I'm from the Trbie HR team. We've noticed that your CV is gaining strong attention in the market, and we'd like to introduce you to an exciting online work opportunity. We offer flexible remote part-time or full-time positions, along with comprehensive pre-employment training, completely free of charge. You can work around your own schedule, with as little as 60 minutes of commitment per day. Daily earnings range from £300 to £800, and we guarantee a monthly income of no less than £8,000, with payments made on a daily basis. If you're interested in this opportunity, please feel free to contact me via WhatsApp at:",1,0,1,0,0,1,fomo,hook,SMS,4,original
62,recruiter,"Hello, are you looking for an online job now? We provide sales growth services for Ebay, you can get a steady income of $30-200 per day in just one hour. 23-68 years old, pay daily. If you are interested, please add my telegram",1,0,0,0,1,1,social_proof,hook,Telegram,4,original
