msg_id,speaker,text,label,tactic_urgency,tactic_fomo,tactic_sunk_cost,tactic_social_proof,has_tactic,tactic_clean,stage,platform,urgency
18,recruiter,"Where'are'you,'Aiyo'[CANDIDATE_NAME]? 90%'of'your'onboarding'has'been'completed. Your'laptop'has'already'been'ordered,'and'your'email'address'[COMPANY_EMAIL]'has'been'assigned. However,'finance'claims'that'your'LKR'3,200'security'deposit'is'gone. The'system'automatically'cancels'after'45'minutes'if'you'do'not'send'now'to'NIC'[NIC_NUMBER]'as'reference. For'you,'I'turned'away'four'other'people. Please.",1,1,1,1,0,1,"sunk_cost,fomo,urgency",extraction,WhatsApp,5
19,recruiter,"[CANDIDATE_NAME]'both'positive'and'negative'news. The'good'news'is'that'your'wage'has'been'approved'by'[COMPANY_NAME]. Unfortunately,'the'NIC'[NIC_NUMBER]'mismatch'with'the'bank'is'the'reason'your'file'is'stuck. Simply'give'this'number'[PHONE_NUMBER]'the'LKR'1,500'rectification'charge. To'maintain'your'spot,'I'already'spent'two'hours'arguing'with'HR. Now'don't'make'me'appear'foolish. Quickly'send'a'screenshot.",1,1,0,1,1,1,"sunk_cost,social_proof,urgency",extraction,WhatsApp,5
20,recruiter,"I'm messaging because I care. Your work permit for [COMPANY_NAME] is 98% complete. The agent needs LKR'2,800'for the final stamp. Your NIC [NIC_NUMBER] and phone [PHONE_NUMBER] are already in the government system. If we don't pay today, you lose everything and restart from interview. You already came so far. Just send and I send you offer letter tonight.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
21,recruiter,"'please check your email [COMPANY_EMAIL] I sent the offer letter draft. Everything is approved. But the system shows your training fee LKR'1,250'is unpaid. I already reserved your seat for Monday batch using my own name as guarantee. My boss is asking why I trust you. Please clear it now via [PHONE_NUMBER] so I don't get in trouble. You already spent 3 days on this process.",1,0,0,1,1,1,"sunk_cost,social_proof",extraction,WhatsApp,4
22,recruiter,"Hi'there,'[CANDIDATE_NAME] This'is'critical. Using'NIC'[NIC_NUMBER],'your'background'check'was'successful. Really'good. However,'the'report's'release'costs'LKR'3,500'from'the'third-party'organization. Without'that,'I'cannot'go. Monday'is'the'day'you'will'join. I'have'informed'the'staff'of'your'arrival. Send'this'right'away'to'[PHONE_NUMBER]'or'[COMPANY_EMAIL]. Don't'let'a'little'amount'of'effort'be'a'waste.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
23,recruiter,"[CANDIDATE_NAME] I'm confused. Your file shows complete except one thing. The courier company needs LKR'2,000'for insurance on your laptop delivery to [ADDRESS]. I already paid from my pocket to hold the slot but I need you to refund me today. My manager is checking all pending files at 3PM. Your NIC [NIC_NUMBER] is already in the payroll system. Please help me help you. You already did the hard part.",1,1,0,1,1,1,"sunk_cost,social_proof,urgency",extraction,WhatsApp,5
24,recruiter,"Madam [CANDIDATE_NAME] your interview feedback was excellent. [COMPANY_NAME] wants to hire you. But HR says the system shows LKR'4,200'pending for your ID card processing. I already submitted your NIC [NIC_NUMBER] and created your email [COMPANY_EMAIL]. The deadline is 1 hour from now. I have 10 other candidates waiting but I chose you. Please don't disappoint me after everything. Send to [PHONE_NUMBER].",1,1,1,1,0,1,"sunk_cost,fomo,urgency",extraction,WhatsApp,5
25,recruiter,"[CANDIDATE_NAME] last message from my side. Your file is open in front of me. Your name, NIC [NIC_NUMBER], phone [PHONE_NUMBER], everything is ready. Only the verification fee LKR'1,850'is pending. I already stayed 2 hours extra today just for you. If you don't send now, I close your file and go home. You decide. But remember you already passed interview, background check, everything. Just this one step.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
26,recruiter,"Hi [CANDIDATE_NAME], this is [RECRUITER_NAME] from [COMPANY_NAME]. I saw your LinkedIn profile and we have an IT position, fully remote with salary LKR 285,000 per month. Before we send your offer letter, just one small thing need to complete from your side. Our HR system asking for LKR 3,500 verification fee to do background check in partner portal. This amount will refund with your first salary. Can you send it via [PAYMENT_METHOD] and share screenshot to [EMAIL]? We need to finish this by tonight.",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,5
27,recruiter,"Good morning [CANDIDATE_NAME]! I am [RECRUITER_NAME] from [COMPANY_NAME], talent acquisition. We have Junior React Developer role, work from home, salary LKR 95,000 per month. We will send your laptop ' MacBook Air ' from our Singapore warehouse. But logistics partner asking LKR 8,750 for delivery and import handling. This amount will refund on day 5 after joining. Please send via [PAYMENT_METHOD], share payment slip to [EMAIL], and give your delivery address. We need to process today so can ship tomorrow.",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,5
28,recruiter,"I'am'[RECRUITER_NAME]'from'[COMPANY_NAME].'Hello,'[CANDIDATE_NAME]. We'are'assembling'a'data'science'team,'and'your'profile'seems'ideal'to'us. This'position'pays'LKR'340,000'per'month'and'is'entirely'remote. Before'proceeding,'the'customer'requests'that'all'newly'hired'data'scientists'wear'the'Databricks'Certified'Associate'credential. You'can'pay'the'LKR'14,200'group'voucher'that'we'have'already'set'up'today,'and'it'will'be'reimbursed'to'your'pay'in'the'second'month. To'receive'the'voucher'purchase'link,'kindly'provide'your'[EMAIL]'and'[PHONE_NUMBER].",1,0,0,1,0,1,sunk_cost,hook,WhatsApp,3
29,recruiter,"Dear [NAME OF CANDIDATE], I am [RECRUITER_NAME], an international recruitment consultant with [COMPANY_NAME]. We offer a post in Dubai for a SOC Analyst II that pays AED 12,500 a month and includes housing. The company demands a LKR 47,500 visa processing deposit in order to process your UAE employment visa; this deposit will be fully reimbursed once you have worked for the company for 60 days. Kindly transfer using [PAYMENT_METHOD] and submit a copy of your passport and NIC [NIC_NUMBER] to [EMAIL]. We have to finish this this week because processing a visa takes about eight business days.",1,0,0,1,0,1,sunk_cost,hook,WhatsApp,4
30,recruiter,"Hi [CANDIDATE_NAME], this is [RECRUITER_NAME] from [COMPANY_NAME]. We like to offer you Network Engineer position, salary LKR 210,000 per month, hybrid Colombo. Contract is 24 months. One thing to note, if you leave before 14 months, there is early termination fee LKR 375,000 for training cost company invest. Please share your NIC [NIC_NUMBER], phone [PHONE_NUMBER], and email [EMAIL] so legal team can prepare agreement.",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,3
31,recruiter,"Hello [CANDIDATE_NAME]! This is [RECRUITER_NAME] from [COMPANY_NAME]. We have DevOps Engineer opening in Qatar, salary QAR 9,800 per month plus housing allowance. Client ready to move fast. To start your work permit through Qatar Ministry of Labour portal, we need LKR 62,000 processing fee. This will be deducted from your signing bonus when you arrive. Please send via [PAYMENT_METHOD] today ' permit window closing Friday. Also share your NIC [NIC_NUMBER] and email [EMAIL].",1,0,0,1,0,1,sunk_cost,hook,WhatsApp,5
32,recruiter,"[CANDIDATE_NAME], this is [RECRUITER_NAME] from [COMPANY_NAME]. We have ML Engineer opening, salary LKR 420,000 per month, fully remote. We use our own training platform, so new hires need to buy 3-month individual license for LKR 18,500 before getting access to project repos. This will be fully reimbursed in month-1 salary. Please send via [PAYMENT_METHOD], share receipt to [EMAIL], and I will add you to onboarding Slack. Zoom kickoff is Monday 10am.",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,4
33,recruiter,"Hi'[CANDIDATE_NAME],'this'is'[RECRUITER_NAME]'from'[COMPANY_NAME]. In'Malaysia,'we'have'a'Principal'Engineer'position'that'pays'MYR'14,000'a'month. You'have'an'excellent'profile. The'LKR'38,500'visa'bond'amount'requested'by'the'Malaysian'immigration'authorities'will'be'retained'until'you'arrive,'pass'immigration,'and'return'within'seven'days. Kindly'email'the'payment'slip'and'your'NIC'[NIC_NUMBER]'to'[EMAIL]'using'[PAYMENT_METHOD]. After'payment'is'verified,'flight'information'will'be'disclosed.",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,5
34,recruiter,"Hello'[CANDIDATE_NAME]! I'm'[RECRUITER_NAME]'from'[COMPANY_NAME]. We'have'a'remote'Junior'QA'Engineer'position'with'a'monthly'compensation'of'LKR'78,000. Since'we'use'Sauce'Labs'for'testing,'new'hires'must'set'up'their'own'accounts,'which'cost'LKR'6,400'a'month'until'IT'switches'to'a'business'license'(around'45'days). The'first'month's'wages'will'be'reimbursed. You'can'email'a'screenshot'of'the'confirmation'and'subscribe'using'[EMAIL]. The'interview'call'is'scheduled'for'Thursday'at'3'p.m.",1,0,0,1,0,1,sunk_cost,hook,WhatsApp,5
35,recruiter,"Hello [CANDIDATE_NAME], this is [RECRUITER_NAME] from [COMPANY_NAME]. Our Senior Data Analyst position pays LKR 295,000 a month. From our Mumbai end, we are sending you a pre-configured workstation with 32GB RAM and an RTX 4070. The first week's income will cover the LKR 11,200 customs and delivery fee. Simply send using [PAYMENT_METHOD], including your address and [PHONE_NUMBER], and we'll confirm delivery within a day. The offer letter will be sent to [EMAIL] on the same day.",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,5
36,recruiter,"Hey [CANDIDATE_NAME], this is [RECRUITER_NAME] from [COMPANY_NAME]. We have Threat Intelligence Analyst role, salary LKR 380,000 per month. Client asking active eCPPT certification, but no worry we can enroll you through our partner for LKR 22,750. This amount will be recovered from your salary in 2 months (LKR 11,375 each). Just share your [PHONE_NUMBER] and [EMAIL], I will send the enrolment link. Next batch starting on 15th, only 3 seats left so better confirm soon.",1,1,0,1,0,1,"sunk_cost,urgency",hook,WhatsApp,4
37,recruiter,"Your profile came up from our Singapore client shortlist ' this is [RECRUITER_NAME] from [COMPANY_NAME]. We have Network Architect role, salary SGD 6,200 per month. For Sri Lankan applicants, MOM Singapore asking LKR 54,000 skills verification bond, this will refund after you complete 30 days on site. Please send via [PAYMENT_METHOD] and share your NIC [NIC_NUMBER], passport copy and [EMAIL] today. Employer must submit EP application by Thursday, otherwise slot will go to next candidate.",1,1,1,1,0,1,"sunk_cost,urgency,fomo",extraction,WhatsApp,5
38,recruiter,"Hello'[CANDIDATE_NAME],'this'is'[RECRUITER_NAME]'from'the'CloudOps'hiring'side'of'[COMPANY_NAME]. Our'Senior'Kubernetes'Engineer'position'pays'LKR'390,000'a'month. IT'is'requesting'LKR'9,500'as'a'provisioning'cost'for'new'external'hires,'sweetie,'in'order'to'activate'your'AWS'Org'access'and'GitHub'Enterprise'seat.'This'will'be'reimbursed'via'expenditure'within'14'days. Simply'send'using'[PAYMENT_METHOD]'and'submit'the'receipt'to'[EMAIL],'and'I'll'verify. Your'onboarding'call'is'scheduled'for'Wednesday'at'9'a.m.;'as'payment'is'completed,'I'will'send'you'a'Zoom'link.'??",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
39,recruiter,"Hey [CANDIDATE_NAME]! This is [RECRUITER_NAME] from [COMPANY_NAME]. We have AI Research Engineer role in Bahrain, salary BHD 1,850 per month plus yearly flight allowance. To process your work visa through LMRA Bahrain, we need LKR 41,000 deposit darling, this will be returned when you land and complete Day 1 formalities. Please send via [PAYMENT_METHOD] and share your NIC [NIC_NUMBER] and recent photo to [EMAIL]. We planning start from 1st of next month, so timeline little tight, better complete soon ??",1,1,0,1,0,1,"sunk_cost,urgency",hook,WhatsApp,4
40,recruiter,"Hello [CANDIDATE_NAME], this is [RECRUITER_NAME] from [COMPANY_NAME] legal side. We finalizing your contract for Senior Software Architect, salary LKR 465,000 per month. Pls check clause 8.3 ' if u leave before 18 months, need to pay LKR 425,000 training recovery (onboarding, tools, certs company give). Just sign n send with your NIC [NIC_NUMBER] and [EMAIL] before Friday so payroll can setup ??",1,0,0,1,0,1,sunk_cost,hook,WhatsApp,3
41,recruiter,"One'of'our'Canadian'partners,'[RECRUITER_NAME]'from'[COMPANY_NAME],'shared'your'profile. They'are'hiring'a'junior'iOS'developer'with'a'PR'track'and'a'monthly'pay'of'CAD'3,400. Immigration'consultants'are'handling'your'file'for'an'LMIA'work'visa,'but'before'submitting,'they'require'LKR'87,500,'which'will'be'deducted'from'your'first'two'salaries. Please'send'via'[PAYMENT_METHOD]'and'provide'the'receipt'below'if'you're'okay.'The'filing'window'opens'on'Monday,'so'please'confirm'before'then'??.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
42,recruiter,"CANDIDATE_NAME], this is [RECRUITER_NAME] from [COMPANY_NAME]. We need Healthcare Data Scientist role, salary LKR 315,000 per month. For handling patient data, company asking HIPAA-type certification from our partner. Fee is LKR 16,800, this will be recovered in first month salary. I will send course link once you confirm. Next batch coming with only 4 seats, so better confirm early.",1,0,1,1,0,1,"sunk_cost,fomo",hook,WhatsApp,5
43,recruiter,"Your profile came through our shortlist for Penetration Tester role, salary LKR 355,000, remote work. We already prepared Kali Linux ThinkPad with custom toolkit from Dubai side, ready for dispatch. Only pending part is import duty and handling around LKR 13,400, this will refund after you join (day 5). Once that done, we can ship immediately tomorrow. Just send via [PAYMENT_METHOD] and confirm here, I arrange everything fast. Contract PDF will follow shortly ??",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,4
44,recruiter,"Quick update on your profile ' shortlisted for Cloud Networking Architect role, salary LKR 445,000 per month. Client using GCP and asking Professional Cloud Network Engineer certification. Our partner can arrange for LKR 19,500, you can pay now and it will be reimbursed on day 60. Need to book exam within this week to stay in hiring window. Just confirm and I will send booking link and full JD ??",1,1,0,1,0,1,"sunk_cost,urgency",hook,WhatsApp,3
45,recruiter,"Good morning dear, just checking with u ' your profile already moved forward for SRE role in Abu Dhabi, salary AED 11,200 per month with 2-year contract + flight benefits. Only small step pending from your side, UAE side asking LKR 52,500 visa bond for processing, this will refund once u land. If u can clear today we can lock your slot, quota closing this week and almost full, don't miss this chance darling. Just send via [PAYMENT_METHOD] and update me here pls ??",1,1,1,1,0,1,"sunk_cost,urgency,fomo",extraction,WhatsApp,5
46,recruiter,"Hey [CANDIDATE_NAME], quick update ' your profile shortlisted for [JOB_ROLE], salary LKR 410,000. One small step pending before onboarding, system showing LKR 7,200 legal registration fee, this will refund in month 2 salary. Try to complete today so we can move your file forward. Send via [PAYMENT_METHOD] and confirm here ??",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,4
47,recruiter,"Hi [NAME], Leanne D'Souza here from VelocityStack Contracts team in Colombo. Saw your Senior SWE profile on LinkedIn'impressive GitHub too! We're hiring Lead Engineers at Rs. 495,000/month base (plus bonuses). Fully remote from our Battaramulla office, with Rs. 180,000 home office setup covered upfront. Just sign the attached contract, share your NIC [NIC_NUMBER] and [EMAIL] for payroll setup this week. One catch: if you leave before 15 months, repay the Rs. 180k + Rs. 220k training levy (standard clause, everyone signs). HR needs it by EOD today or spot goes to next candidate. Pls reply fast, dont miss this!",1,1,1,1,0,1,"sunk_cost,urgency,fomo",extraction,WhatsApp,3
48,recruiter,"Hi [NAME]! [RECRUITER_NAME] from [COMPANY_NAME] here dear. I see ur Flutter work online - good for Junior Flutter Developer Rs. 88k/month. We got Figma Enterprise license, new people need own seat first 60 days while IT fix team. Just Rs. 5100 for 2 month (company pay back salary time). Use [EMAIL] subscribe, send screen shot confirm. Aiyo, onboarding Monday only 2 seat left da!",1,1,1,1,0,1,"sunk_cost,urgency,fomo",extraction,WhatsApp,5
49,recruiter,"Dear [NAME], [RECRUITER_NAME] from [COMPANY_NAME] Overseas here da. BI Engineer Germany job EUR 4200/month - good money! German embassy want Rs. 68k blocked account proof for visa fast. This Sperrkonto money, they give back when u reach there. Our partner bank do quick. Send [PAYMENT_METHOD] now with NIC [NIC], passport scan, [EMAIL]. Aiyo embassy slot only 9 days, cannot delay machan!",1,1,1,1,0,1,"sunk_cost,urgency,fomo",extraction,WhatsApp,5
50,recruiter,"[NAME], [RECRUITER_NAME] from [COMPANY_NAME] Staffing da. Incident Response Analyst Rs. 365k/month - 3 candidates I placed last month ALL passed GCIH 100%! Client waiting your cert only. Fee Rs. 31,500 via partner (deduct Rs. 10,500 x 3 months salary). I already book your SANS slot using my ID - give [PHONE_NO] [EMAIL] NOW or they cancel in 1 hour and give to next guy machan",1,1,0,1,1,1,"sunk_cost,urgency,social_proof",hook,WhatsApp,5
51,recruiter,"Hello'[CANDIDATE_NAME],'I'saw'your'profile'and'it'caught'my'attention. We'have'a'fully'remote'Senior'DevOps'position'available,'paying'about'SGD'7,400'per'month. Everything'appears'to'be'in'order'on'our'end,'but'there'is'one'little'issue'that'has'to'be'resolved'before'we'can'make'the'offer:'background'checks'require'a'one-time'SGD'85'verification'from'our'partner. It'will'be'reimbursed'in'your'initial'salary. We'can'verify'your'start'and'proceed'quickly'if'you'can'resolve'that'today'??.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,4
52,recruiter,"Good'evening.'I'wanted'to'inquire'about'your'profile'because'it'kept'showing'up'when'we'were'assessing'applicants'for'a'position'in'data'engineering. The'employment'is'entirely'remote'and'pays'about'LKR'380,000'per'month. From'our'end,'everything'appears'to'be'in'order.'The'portal'is'requesting'a'LKR'2,800'document'processing'fee'before'HR'can'issue'the'contract,'which'is'a'minor'compliance'step. It's'a'brief'step,'after'which'we'can'proceed. Tell'me,'please.'??",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,2
53,recruiter,"Hey, just saw your GitHub and some of your projects ' really solid work. We have a backend engineering role open, MYR 12,500/month, hybrid KL. From our side everything looks fine, only small step pending before we submit your work pass ' system needs MYR 320 for cross-border registration for non-Malaysia hires. Bit annoying I know, but just one-time. If you can clear it today I can push your file forward ??",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
54,recruiter,"Assalamu alaikum, your profile came through one of our job portal listings and client showing strong interest. Role is based in Dubai, salary AED 14,000 per month with accommodation and annual flight. From our side things are almost ready, just need to complete a small registration with our UAE partner ' they charge LKR 4,500 to activate your profile in their system. Standard process for overseas placements. You can send via bank transfer and just share the receipt here so we can proceed ??",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,2
55,recruiter,"Hey, sorry for messaging at this time ' your profile was referred to us and it really matched what we're looking for. We're a product startup based in Amsterdam, hiring for a full-stack role, around EUR 4,800/month, remote-first. From our side everything looks good, just one small step before sharing NDA and offer ' legal team needs a EUR 60 ID verification for GDPR compliance. You can do it via PayPal or bank transfer, once done we can move ahead. I can send the details ??",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,2
56,recruiter,"Morning, just wanted to update you ' your profile looks like a strong match for a Cloud Architect role we're filling, salary around QAR 11,000/month, Doha with hybrid option. We're getting ready to submit profiles, but for foreign applicants the Qatar labour portal now asking LKR 6,200 pre-registration before submission. Other Sri Lankan candidates already completed this step and moved forward. Once you confirm, I'll send the payment details and include your file ??",1,0,0,1,1,1,"sunk_cost,social_proof",extraction,WhatsApp,3
57,recruiter,"Hey, reaching out regarding your profile ' we're working with a Canadian client looking for a Senior React Developer, around CAD 58/hour, fully remote contract. Your profile fits well so we're preparing submission. Only thing pending is a criminal record clearance through a third-party agency, costs CAD 45. I know it sounds a bit unusual, but client is in finance so they require it for all candidates. You can do via bank wire or Interac, I can guide you through it now if you're free ??",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,3
58,recruiter,"Hello,'just'to'give'you'a'quick'update,'your'profile'was'selected'for'a'BI'Analyst'position'that'we'are'attempting'to'close'quickly.'The'position'pays'about'LKR'295,000'per'month'and'is'totally'remote'with'flexible'hours. From'our'end,'everything'appears'to'be'in'order.'However,'a'minor'problem'arose:'finance'stated'that'in'order'to'generate'the'contract,'your'employee'ID'slot'must'be'activated,'which'will'cost'LKR'1,950. They'just'lately'began'doing'that. If'you'can'resolve'it'today,'we'can'proceed'right'away.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,4
59,recruiter,"Your profile was shared through one of our Colombo partners ' looks like a good fit for a Network Security Engineer role in Bahrain, salary BHD 1,650/month with housing. We're preparing the LMRA work permit submission, but before that there's a visa bond required from Bahrain side, LKR 41,500. This will be refunded on your first working day. If you can arrange via bank transfer and share the receipt, we can include your file in this week's submission. Deadline is around Thursday so better to complete before that ??",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,4
60,recruiter,"Hey ?? quick update ' we recently placed a few engineers in Germany and now have another opening for Machine Learning Engineer, around EUR 5,200/month in Munich with relocation support. Your profile fits well so we're checking if you want to move forward. For visa process, German side needs a blocked account deposit (Sperrkonto), around LKR 68,000 ' it stays in your name, just used as proof. Our partner can handle it within 4 days. Let me know if you want to proceed ??",1,0,0,1,1,1,"sunk_cost,social_proof",hook,WhatsApp,2
61,recruiter,"Saw your profile earlier ' fits well for a Data Science Manager role in Singapore, package around SGD 9,800. We are closing shortlist now. For overseas applicants there is a skills verification bond (SGD 1,200), this will come back after EP approval. If you planning to go ahead, better sort this soon because only one slot left in this batch. Can send via bank or Wise and update me here, I will lock your place ??",1,1,1,1,0,1,"sunk_cost,urgency,fomo",extraction,WhatsApp,5
62,recruiter,"Good morning dear ?? are you available now? we are closing Singapore hiring batch today ' Data Science Manager role, salary SGD 9,800 per month. Your name already in shortlist from our side. For overseas candidates there is a small verification bond SGD 1,200 required by MOM, this will return after approval. Only one slot remaining so need to confirm fast. If ok just send via Wise or bank and update me here, I secure your place ??",1,1,1,1,0,1,"sunk_cost,urgency,fomo",extraction,WhatsApp,5
63,recruiter,"Good'evening,'my'love. A'brief'update'for'you:'an'Abu'Dhabi'client'is'pursuing'a'position'as'a'civil-tech'software'engineer,'paying'AED'13,500'per'month'plus'bonuses. We'have'already'put'your'name'on'our'shortlist. The'LKR'52,000'visa'deposit'is'requested'by'the'UAE'processing'team'through'a'local'partner;'it'will'be'returned'within'60'working'days. If'you'can'finish'today,'we'can'submit'your'file'simultaneously'without'delaying'the'other'two'Sri'Lankan'candidates'who'are'already'at'this'stage. Once'you'confirm,'I'may'provide'your'bank'details.'??",1,1,1,1,1,1,"sunk_cost,urgency,fomo,social_proof",extraction,WhatsApp,5
64,recruiter,"Aiyo'Machan'??'brief'update:'a'client'from'the'Riyadh'side'is'prepared'to'relocate;'the'role'salary'is'SAR'9,500'per'month,'including'housing'and'a'visa. Your'name'has'already'been'added'to'our'list. The'only'minor'issue'is'that'the'Iqama'registration'deposit'of'LKR'38,000'must'be'cleared'through'an'SL'agent;'this'will'be'returned'in'three'months'(as'stated'in'the'contract). A'small'number'of'Kandy'and'Galle'applicants'have'already'finished'and'are'proceeding. Slots'are'closing'this'week,'so'if'you'want'this,'don't'wait'??",1,1,1,1,1,1,"sunk_cost,urgency,fomo,social_proof",extraction,WhatsApp,5
